SpotifyURI,Acousticness,Danceability,DurationMS,DynamicRange,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,ReleaseDate,Sections,Speechiness,Tempo,TimeSignature,Valence,Hot
spotify:track:5a6pdCHlWS2ekOOQ70QnAr,0.868,0.708,156107,9.54,0.18600000000000005,0,0.0,9,0.0779,-8.953,0,87,2019-07-31,6,0.0422,72.541,4,0.321,1
spotify:track:4bl1HBZliBuYpFZjWgefE4,0.015,0.778,198849,8.632,0.573,1,0.0,10,0.464,-7.338999999999999,0,82,2019-12-06,8,0.251,140.114,4,0.269,1
spotify:track:4sjiIpEv617LDXaidKioOI,0.0388,0.932,176640,12.053,0.547,1,0.0,0,0.0924,-7.787000000000001,0,82,2019-08-09,8,0.333,94.998,4,0.695,1
spotify:track:6MBUUSIWCzaXW4q58Ktrv9,0.301,0.523,193929,23.22,0.8370000000000001,0,0.0,7,0.172,-4.494,1,70,2018-03-23,8,0.0335,82.006,4,0.523,1
spotify:track:4Yxc55NX3tAXC2mHRAhtcW,0.0902,0.376,177323,30.253,0.43,0,0.0,0,0.0912,-6.585,0,82,2019-11-27,9,0.0328,77.59899999999998,3,0.129,1
spotify:track:4evmHXcjt3bTUHD1cvny97,0.124,0.64,197867,13.549000000000001,0.648,0,0.0,5,0.0802,-8.113,0,87,2019-06-28,8,0.187,92.977,4,0.5479999999999999,1
spotify:track:2z24xBg3yyeyTOE5sjVLDe,0.448,0.414,205035,3.3519999999999985,0.688,0,0.0,2,0.42,-10.497,1,20,2019-06-12,11,0.276,127.205,3,0.511,1
spotify:track:2gwkD6igEhQbDQegRCcdoB,0.0608,0.8759999999999999,163320,7.4,0.662,1,0.0,2,0.127,-6.482,0,85,2019-03-01,9,0.426,75.445,4,0.8440000000000001,1
spotify:track:6uJONCdr2rC65BNmCnTBWK,0.071,0.8590000000000001,244761,30.187,0.6,1,0.0,7,0.353,-4.63,0,81,2019-12-27,11,0.301,123.017,4,0.568,1
spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,0.253,0.75,157133,5.8340000000000005,0.789,1,0.0,2,0.129,-4.578,1,79,2019-12-27,8,0.108,147.957,4,0.6729999999999999,1
spotify:track:0Xek5rqai2jcOWCYWJfVCF,0.0588,0.542,196760,14.004,0.674,1,0.0,6,0.0955,-4.169,1,83,2019-09-06,9,0.21,76.388,4,0.667,1
